channel_order,channel_name,program_order,program_title,duration_raw,release_year,rating,genres_raw,season_number,episode_number,episode_title,synopsis
1,ABC,1,Local Programs,53 min,,TV-14,,,,,Local programming information.
1,ABC,2,Local Programs,53 min,,TV-14,,,,,Local programming information.
2,CBS,2,Local Programs,25 min,,TV-14,,,,,Local programming information.
2,CBS,3,Local Programs,25 min,,TV-14,,,,,Local programming information.
4,NBC,2,Late Night with Seth Meyers,1 hr 1 min,2026,TV-14,Comedy / Talk-Show,13,119,Season 13 Episode 119,Tracee Ellis Ross (Every Brilliant Thing; Solo Traveling with Tracee Ellis Ross) and Luke Evans (The Rocky Horror Show.)
4,NBC,3,NBC Nightly News with Tom Llamas,35 min,2025,,,,,,Anchors and correspondents cover developing domestic and international news stories and political events along with investigative pieces and featured segments that spotlight Americans who have...
4,NBC,4,Top Story with Tom Llamas,47 min,2021,,,,,,"Anchor Tom Llamas offers an in-depth look at breaking news and major events in real time along with impactful interviews about social issues, race, finance and more from those affected most by..."
5,PBS,2,NOVA,1 hr,2015,,Documentary,42,11,Chasing Pluto,"Cameras follow the scientists who work with the New Horizons space probe as it approaches the edge of the solar system after travelling 3 billion miles in nine years, with an exclusive look at..."
5,PBS,3,Bugs That Rule the World,1 hr,2025,,,,,,"Scientists and other experts discuss bees, moths, butterflies and other essential pollinators to reveal how these creatures make a big impact on the planet despite their rather delicate..."
7,MYNET,1,Local Programs,6 hrs,,TV-14,,,,,Local programming information.
8,ION-E,2,Law & Order: Special Victims Unit,1 hr,2020,TV-14,Crime / Mystery / Thriller / Drama,22,1,Guardians and Gladiators,"The team tries to solve an assault in Central Park, but their own blind spots and a community that lacks trust in the police hinders their efforts."
8,ION-E,3,Law & Order: Special Victims Unit,1 hr,2020,TV-14,Crime / Mystery / Thriller / Drama,22,2,Ballad of Dwight and Irena,Rollins and Kat tend to a dangerous domestic violence call; Fin provides his deposition in the lawsuit against him.
9,TELMUN,2,Caso cerrado,30 min,2024,TV-14,,,,,María y Pedro tienen un hijo con condiciones especiales. Pero Pedro tiene una contradicción emocional que lo ha lleva inconcientemente a maltratar al chico.
9,TELMUN,3,En casa con Telemundo,1 hr,2026,,,,,,"Una entretenida mezcla de las noticias del entretenimiento, exclusivas con estrellas de la música, el cine y la televisión, presentaciones en vivo, y el estilo de vida de los famosos."
10,UNI-E,2,Mañana es para siempre,1 hr,2008,TV-14,Drama / Romance,,,,"Rebeca entra a la empresa de la familia Elizalde para destruirla y casarse con el dueño, pero antes tendrá que matar a la esposa de éste y sólo Soledad sabe lo que está pasando, pero debe..."
10,UNI-E,3,Como dice el dicho,1 hr,2011,TV-14,Comedy / Drama,,,,"Recreación de múltiples historias basadas en refrán popular en las que intervienen, Don Tomás, un hombre bonachón de más de 60 años, que es el dueño del Café Del Dicho al Hecho, y su nieta..."
11,BBCNW,2,Business Today,25 min,,,,,,,"A comprehensive first look at the latest news from the business world is provided by a team of news anchors, along with the latest analyses and predictions that affect the British business..."
11,BBCNW,3,Talking Movies,5 min,,TV-PG,Documentary,,,,"Host Tom Brook takes an in-depth look at recent developments in the world of cinema, meeting with the best in the business, offering behind-the-scenes reports, and showcasing highlights from..."
11,BBCNW,4,BBC News,30 min,2025,,,,,,The latest news from the BBC.
11,BBCNW,5,Business Today,25 min,,,,,,,"A comprehensive first look at the latest news from the business world is provided by a team of news anchors, along with the latest analyses and predictions that affect the British business..."
11,BBCNW,6,Talking Movies,5 min,,TV-PG,Documentary,,,,"Host Tom Brook takes an in-depth look at recent developments in the world of cinema, meeting with the best in the business, offering behind-the-scenes reports, and showcasing highlights from..."
12,BLOOMBERG,2,Bloomberg Daybreak: Europe,1 hr,2016,,,,,,"In London and New York, the Bloomberg Daybreak Europe team presents the latest market updates from Wall Street and global businesses, and track breaking news stories from around the globe."
13,CNBC,2,"American Greed: Scams, Scoundrels and Scandals",30 min,2014,TV-PG,Documentary / Crime,,,,"As a small Illinois town makes tough budget decisions, its comptroller's horse-breeding business prospers, and eventually it is learned that her business was being funded by $53 million she..."
13,CNBC,3,"American Greed: Scams, Scoundrels and Scandals",30 min,2014,TV-PG,Documentary / Crime,,,,"As a small Illinois town makes tough budget decisions, its comptroller's horse-breeding business prospers, and eventually it is learned that her business was being funded by $53 million she..."
14,CNN,2,The Story Is with Elex Michaelson,1 hr,2025,,,,,,"Elex Michaelson tackles the breaking stories making headlines with sharp analysis, fresh perspective and a dose of humor."
14,CNN,3,Anderson Cooper 360°,1 hr,2003,,News / Talk-Show,,,,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr..."
15,CSPA-1,2,U.S. House of Representatives,2 hrs,,,,,,,The House will complete work on the 2027 defense programs and policy (NDAA) bill and consider the GOP budget resolution for reconciliaiton 3.0 and legislation to ban stock trading by members...
16,FOXBN,2,Paid Program,30 min,,G,,,,,Sponsored television programming.
16,FOXBN,3,Paid Program,30 min,,G,,,,,Sponsored television programming.
16,FOXBN,4,Paid Program,30 min,,G,,,,,Sponsored television programming.
17,FNC,3,Hannity,1 hr,2009,,News / Reality-TV / Talk-Show,,,,"The noted author and commentator brings his perspective to today's top news stories and presents segments such as ""The Great American Panel,"" with three guests offering point and counterpoint..."
18,HLN,2,Forensic Files,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
18,HLN,4,Forensic Files,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
19,MSNOW,2,The Last Word with Lawrence O'Donnell,1 hr,2010,,,,,,"Political analyst Lawrence O'Donnell, who has served as Chief of Staff for the Senate Finance Committee and has earned an Emmy for his work on 'The West Wing,' discusses the biggest issues and..."
19,MSNOW,3,The Last Word with Lawrence O'Donnell,1 hr,2010,,,,,,"Political analyst Lawrence O'Donnell, who has served as Chief of Staff for the Senate Finance Committee and has earned an Emmy for his work on 'The West Wing,' discusses the biggest issues and..."
20,NEWSNAT,2,On Balance with Leland Vittert,1 hr,2021,,,,,,"The day's major news events affecting the city, the state, and the nation, along with late-breaking stories from around the globe, are presented by Leland Vittert."
20,NEWSNAT,3,On Balance with Leland Vittert,1 hr,2021,,,,,,"The day's major news events affecting the city, the state, and the nation, along with late-breaking stories from around the globe, are presented by Leland Vittert."
21,ACCN,2,College Football,3 hrs,2025,,,,,,Miami Hurricanes at Florida State Seminoles from Doak S. Campbell Stadium
23,CBSSPT,3,2026 SBD World's Strongest Man,1 hr,2026,,,,,,
24,ESPN,2,SportsCenter,1 hr,1979,,News / Sport / Talk-Show,,,,"The worldwide leader in sports covers all the important stories of the day, including game highlights, player interviews, and special segments; correspondents relay up-to-the-minute news and..."
24,ESPN,3,SportsCenter,1 hr,1979,,News / Sport / Talk-Show,,,,"The worldwide leader in sports covers all the important stories of the day, including game highlights, player interviews, and special segments; correspondents relay up-to-the-minute news and..."
25,ESPN2,3,NFL Live,1 hr,,,News / Sport,,,,"The latest news and reports around the NFL are discussed in detail with a panel of expert analysts weighing in on the hottest issues, while veteran football reporters provide up-to-date..."
26,ESPNWS,3,The Biggest Game,30 min,2026,,,,,,"Jeremy Schaap goes over the history of the Super Bowl, exploring the most memorable moments from each contest, the cultural impact the game has had and the lore of the big game that has..."
26,ESPNWS,4,X Games Chiba 2026,2 hrs,2026,,,,,,"from Makuhari Messe in Chiba, Japan"
30,FS2,2,2026 FIFA World Cup,2 hrs,2026,,,,,,Norway at England from Miami Stadium
31,FUSEHD,2,Bodied,2 hrs 30 min,2018,R,Comedy / Drama / Music,,,,"When a graduate student finds himself interested in the genre of battle rap, he decides to use his fascination as the topic of his thesis, but when he becomes obsessed with hip-hop..."
32,GOLF,2,R&A Highlights,30 min,2025,,,,,,"Game analysts discuss top players on the R&A and their current performances, as they provide interviews, statistics, behind-the-scenes footage and highlights of featured competitors that made..."
32,GOLF,3,R&A Highlights,30 min,2025,,,,,,"Game analysts discuss top players on the R&A and their current performances, as they provide interviews, statistics, behind-the-scenes footage and highlights of featured competitors that made..."
33,MTTREND,2,Wheeler Dealers: World Tour,1 hr,2024,,Documentary,1,8,Holden Surf Wagon - Australia,
34,NFLNET,2,The Insiders,1 hr,2023,,,,,,"NFL insiders, including Ian Rapoport, Tom Pelissero and Mike Garafolo, break down the latest team news making headlines across the league, discussing the impact it will have on the team, along..."
34,NFLNET,3,Team Highlights,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
34,NFLNET,4,Team Highlights,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
35,MLB,2,Quick Pitch,1 hr,2009,,Sport,,,,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour."
35,MLB,3,Quick Pitch,1 hr,2009,,Sport,,,,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour."
36,NBATV,2,The Association,2 hrs,2014,,,,,,"Cameras give an all-access look at the top teams in the NBA throughout the season as they compete for a spot in the playoffs, showing the players and coaches on and off the court to show the..."
37,NHLTV,2,NHL Tonight,1 hr,2011,,,,,,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines..."
37,NHLTV,3,NHL Tonight,1 hr,2011,,,,,,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines..."
38,OUTDRE,2,Airgunner Challenge,30 min,2022,,,,,,The reality marksman competition features a number of participants showcasing their skills in a variety of challenges that requires them to use the latest from the air gun industry to hit...
38,OUTDRE,3,North American Whitetail,30 min,2026,,Sport,,,,"The pro staff covers buck hunting from the early season through the winter, sharing big-game trophy hunts for the novice and the professional, detailing the tactics and strategies they employ..."
38,OUTDRE,4,North American Whitetail,30 min,2026,,Sport,,,,"The pro staff covers buck hunting from the early season through the winter, sharing big-game trophy hunts for the novice and the professional, detailing the tactics and strategies they employ..."
41,A&E,2,My Strange Arrest,30 min,2023,TV-14,Crime / Reality-TV,,,,"The accused, arresting officers and eyewitnesses share insight into some of the strangest and wildest crimes ever committed to reveal how the headline-making crimes led to real-life..."
41,A&E,3,My Strange Arrest,31 min,2023,TV-14,Crime / Reality-TV,,,,"The accused, arresting officers and eyewitnesses share insight into some of the strangest and wildest crimes ever committed to reveal how the headline-making crimes led to real-life..."
41,A&E,4,Swamp Patrol,30 min,2026,,,,,,"In Arkansas, multiple units search for a suspect in thick woodland. A brave police dog jumps off a 60-foot bridge. A man hiding in swamp mud gets stuck. A car crashes into a lake with a child..."
41,A&E,5,Swamp Patrol,31 min,2026,,,,,,"SWAT are called to chase down a stolen multi-million-dollar yacht among the mangroves. Burglars hide in a gator's canal to avoid capture, a suspect uses his nudity as an excuse not to..."
42,AHC,2,Against the Odds,1 hr,2016,TV-PG,Documentary / History / War,2,6,The Untold Story of the Battle of Mortain,"A battle Hitler referred to as ""the most decisive of the war"" is determined by a small group of National Guardsmen on top of a hill, fighting to deny the Germans a badly needed victory."
42,AHC,3,Against the Odds,1 hr,2016,TV-PG,Documentary / History / War,2,1,Fighting Fox: Road to Hell,"A detailed examination of the paratroopers of Fighting Fox Company, who fought and died in World War II battles from Normandy to Hitler's Eagle's Nest, demonstrating both dogged determination..."
43,AMCALL,2,The Walking Dead: Dead City,1 hr 10 min,2023,TV-MA,Action / Adventure / Drama / Horror / Thriller,1,1,Old Acquaintances,"Once Maggie finds Negan, they travel to Manhattan; Negan is followed by a marshal named Armstrong; a quiet girl named Ginny."
43,AMCALL,3,The Walking Dead: Dead City,3 min,2026,TV-MA,Action / Adventure / Drama / Horror / Thriller,,,58Metascore,"The Walking Dead: Dead City Season 3 is set for a July 26, 2026 premiere on AMC and AMC+. The upcoming season follows Maggie and Negan as they attempt to build a thriving community in..."
45,BBCAME,2,Criminal Minds,1 hr,2011,TV-14,Crime / Mystery / Thriller / Drama,6,17,Valhalla,"After a string of suspicious murders occurs, Prentiss starts to suspect that her old Interpol nemesis is somehow involved in the recent activity, causing her to fear for the safety of her BAU..."
45,BBCAME,3,Criminal Minds,1 hr,2011,TV-14,Crime / Mystery / Thriller / Drama,6,17,Valhalla,"After a string of suspicious murders occurs, Prentiss starts to suspect that her old Interpol nemesis is somehow involved in the recent activity, causing her to fear for the safety of her BAU..."
46,BET,2,Martin,30 min,1995,TV-PG,Comedy / Drama / Romance,4,1,Martin in the Corner Pocket,"When his fun-filled honeymoon with his beloved Gina finally comes to its conclusion, Martin immediately goes out on his first night back home in order to party with best friends Cole and..."
46,BET,3,Martin,30 min,1995,TV-PG,Comedy / Drama / Romance,4,2,Kill Him with Kindness,"The intrusive Mama Payne convinces Martin that Gina is plotting to have him killed so she can selfishly take all of his life insurance money, and Martin becomes concerned for his safety and..."
46,BET,4,The Jamie Foxx Show,30 min,1997,TV-PG,Comedy,2,11,Too Much Soul Food,Jamie and the family attempt to have a nice Thanksgiving dinner but when an unexpected accident befalls the head of the household the entire day is ruined with they are forced to go to the...
47,BETHER,3,Tyler Perry's Assisted Living,36 min,2023,TV-PG,Comedy,4,15,French Miss,"Mr. Brown tries to woo a woman with reservations at a five-star restaurant, only to be forced to recruit Philip for a substitute when those plans fall through."
47,BETHER,4,Tyler Perry's Assisted Living,36 min,2023,TV-PG,Comedy,4,16,Golden Oldie,Mr. Brown's girlfriend is furious to learn Anastasia is competing in the same pageant as her; Leah is shocked when Jeremy buys her a broom for a birthday gift.
47,BETHER,5,Tyler Perry's Assisted Living,36 min,2023,TV-PG,Comedy,4,16,Golden Oldie,Mr. Brown's girlfriend is furious to learn Anastasia is competing in the same pageant as her; Leah is shocked when Jeremy buys her a broom for a birthday gift.
48,BOOM-E,4,Ben 10,30 min,2006,TV-Y7,Animation / Action / Adventure / Family / Sci-Fi,1,9,The Last Laugh,Ben discovers that he is going to have to face his fear of clowns head-on in order to wage battle against an evil circus whose ringmaster is a psychic vampire-clown named Zombozo; Gwen has...
48,BOOM-E,5,Jellystone!,30 min,,,Animation / Short / Adventure / Comedy / Family,,,,"Yogi Bear and his friends cross paths in town in silly ways, turning day-to-day activities into chaotic hilarity."
48,BOOM-E,6,Tom and Jerry,10 min,1961,TV-PG,Comedy,3,3,It's Greek to Me-ow,Tom chases Jerry around during the times of Ancient Greece.
50,TOON-E,3,Robot Chicken,15 min,2020,TV-MA,Animation / Short / Adventure / Comedy / Sci-Fi,10,14,Buster Olive in: The Monkey Got Closer Overnight,"Tyrion Lannister learns the true meaning of ""winter is coming""; Blade tries to slice his way into infomercials; Inside Out Boy goes to college; the ""Robot Chicken"" writers show what happens..."
50,TOON-E,4,American Dad!,29 min,2022,TV-14,Animation / Comedy,19,6,American Dad Graffito,"Stan discovers that his favorite 1950s diner is closing, so he tries to ignite some 1950s enthusiasm to save the restaurant; Hayley takes advantage of the diner's closing by lobbying to be the..."
50,TOON-E,5,American Dad!,29 min,2022,TV-14,Animation / Comedy,19,6,American Dad Graffito,"Stan discovers that his favorite 1950s diner is closing, so he tries to ignite some 1950s enthusiasm to save the restaurant; Hayley takes advantage of the diner's closing by lobbying to be the..."
51,CMTV,2,The Golden Girls,30 min,1986,TV-PG,Comedy / Drama,2,8,Vacation,"An island getaway in the Caribbean turns disastrous for Dorothy, Rose and Blanche whose lodgings turn out to be less than desirable; at home alone in Miami, Sophia becomes entranced with a..."
51,CMTV,3,The Golden Girls,30 min,1986,TV-PG,Comedy / Drama,2,8,Vacation,"An island getaway in the Caribbean turns disastrous for Dorothy, Rose and Blanche whose lodgings turn out to be less than desirable; at home alone in Miami, Sophia becomes entranced with a..."
51,CMTV,4,The Golden Girls,30 min,1986,TV-PG,Comedy / Drama,2,9,Joust Between Friends,"Blanche and Dorothy don't see eye to eye when they begin working together in an art museum, where Dorothy's achievements cause Blanche to have a jealous outburst; Rose angers the roommates by..."
52,CMDY-E,3,South Park,30 min,2003,TV-MA,,,,,"After a trip to a local restaurant known for cheap food and good-looking women, Butters believes that one of the waitresses is in love with him; Stan joins a goth group after getting dumped by..."
52,CMDY-E,4,South Park,30 min,2003,TV-MA,,,,,"After a trip to a local restaurant known for cheap food and good-looking women, Butters believes that one of the waitresses is in love with him; Stan joins a goth group after getting dumped by..."
53,COOKING,2,Kids Baking Championship,1 hr,2016,,Game-Show / Reality-TV,2,2,Eclairs Gone Wild,Nine of the country's best kid bakers that remain in the competition are presented the challenge of making an eclair that has been elevated and decorated to become what they hope the judges...
53,COOKING,3,Kids Baking Championship,1 hr,2016,,Game-Show / Reality-TV,2,2,Eclairs Gone Wild,Nine of the country's best kid bakers that remain in the competition are presented the challenge of making an eclair that has been elevated and decorated to become what they hope the judges...
54,CRIMEINV,2,Cold Case Files,1 hr,2025,TV-14,Documentary / Crime,4,16,A Dawn to Remember,"An 18-year-old model moves to California to pursue fame, but within a matter of months, her body is found in a bathtub, and it takes the authorities nearly 40 years' time to nab her killer and..."
54,CRIMEINV,3,Cold Case Files,1 hr,2017,TV-14,Documentary / Crime,1,5,The Night Shift,A college student disappears from his graveyard shift at a gas station; new forensic technology and the discovery of an illegal drug ring in a squeaky-clean town helps police solve the case...
55,DESTAMER,3,BBQ Pitmasters,1 hr,2012,TV-PG,Reality-TV,3,5,"Doctors, Divas and 2 Worthless Nuts","The competition pits potential Pitmasters against one another in Salisbury, Md., where Purdue Chicken got its humble start, which is why the competitors are tasked with creating various..."
56,TDC-E,2,Expedition Unknown,1 hr 30 min,2026,TV-PG,Adventure / Mystery / Reality-TV,,,,"Josh joins archeologists as they bushwhack through thick jungles and rappel into vast caves in search of the lost Zoque culture. Deep underground, the team pushes through flooded sections and..."
58,DLIF,2,My 600-lb Life,2 hrs,2024,TV-PG,Reality-TV,8,15,William's Journey,A man deals with increasing body weight after a knee injury prematurely ends his sports career before finally having to come to terms with how much has changed.
59,DIS-E,2,Big City Greens,30 min,2021,TV-Y7,Animation / Adventure / Comedy / Family,2,29,The Van; Bat Girl,"When an unsightly van parks in front of Gramma and Cricket's house, they grow increasingly upset about seeing it every moment it stays there; Nancy decides to join the community center's..."
59,DIS-E,3,Big City Greens,30 min,2021,TV-Y7,Animation / Adventure / Comedy / Family,2,29,The Van; Bat Girl,"When an unsightly van parks in front of Gramma and Cricket's house, they grow increasingly upset about seeing it every moment it stays there; Nancy decides to join the community center's..."
59,DIS-E,4,Big City Greens,30 min,2022,TV-Y7,Animation / Adventure / Comedy / Family,3,2,Boss Life; Papaganda,"Gloria's café has a perfect rating, and she works hard to keep it that way until someone gives her a B rating; Bill drags his family along on a blackberry picking adventure and enforces a..."
60,DISNEYJR,2,Bluey,25 min,2021,TV-Y,,,,,Bingo and Rolly attempt to trick their mother into saying a word that she forbade them from using; Bluey must clean her toys before she can help her father make Bingo's birthday cake; Bingo...
60,DISNEYJR,3,Bluey,25 min,2021,TV-Y,,,,,Bingo and Rolly attempt to trick their mother into saying a word that she forbade them from using; Bluey must clean her toys before she can help her father make Bingo's birthday cake; Bingo...
60,DISNEYJR,4,Bluey,25 min,2021,TV-Y,,,,,Bingo and Rolly attempt to trick their mother into saying a word that she forbade them from using; Bluey must clean her toys before she can help her father make Bingo's birthday cake; Bingo...
60,DISNEYJR,5,Bluey,25 min,2023,TV-Y,,,,,"The family holds a trial when Dad is accused of fluffing in Bluey's face; Bluey and Mackenzie play with friends who are older than they are; Bluey and Bingo want to keep Dad all to themselves,..."
60,DISNEYJR,6,Disney's Mickey Mouse Clubhouse,25 min,2016,TV-Y,Animation / Adventure / Comedy / Family / Fantasy / Musical,5,13,Chef Goofy on the Go!,"Mickey and the rest of the friends assist Goofy with completing his food deliveries for his lunch truck, which he calls ""Chef Goofy on the Go."""
61,DISNEYXD,4,Big Hero 6,30 min,2020,TV-Y7,Animation / Action / Adventure / Comedy / Family / Sci-Fi,3,1,The Hyper-potamus Pizza-Party-torium,"Lacking certain members, the team tries to prevent Noodle Burger Boy from achieving his goals while he is aided by his new family."
63,FOODTV,2,Kitchen Chaos,30 min,2026,,,,,,"Servers lose control in spectacular fashion and massive kitchen messes leave total destruction behind as chefs Tiffani Faison, Brian Malarkey, and Gabe Bertaccini react to the madness with..."
63,FOODTV,3,Guy's Grocery Games,1 hr,2026,,Game-Show / Reality-TV,41,4,Food Family Takeover,Three restaurant crews featuring family and longtime employees compete.
64,FREEFRM,2,According to Jim,30 min,2002,TV-PG,Comedy / Romance,2,8,Father Disfigure,"Jim is horrified upon discovering that the new reverend at the church is the very same person he once injured with a dodgeball in his younger days, and he ends up giving the man a shot at..."
64,FREEFRM,3,Inogen Portable Oxygen - No More Tanks!,30 min,,,,,,,Regain independence and enjoy greater mobility with the compact design and long-lasting battery of portable oxygen.
64,FREEFRM,4,What’s Your Injury Case Worth?,30 min,,G,,,,,Legal professionals standing by 24/7. Call now for your free case evaluation!
65,FX-E,2,Alien: Resurrection,2 hrs,1997,R,Action / Horror / Sci-Fi,,,,"A secret military experiment to clone and study an alien race also resurrects a former space trucker who gave her life eliminating the deadly menace, and it is up to her and a band of space..."
66,FXX,3,King of the Hill,30 min,2008,TV-PG,Animation / Comedy / Drama,12,10,Doggone Crazy,"Hank turns to a dog spiritualist, obedience training and a quiet nursing home for help when Ladybird starts acting up around loud noises, but a terrifying thunderstorm forces him to get to the..."
66,FXX,4,King of the Hill,30 min,2008,TV-PG,Animation / Comedy / Drama,12,10,Doggone Crazy,"Hank turns to a dog spiritualist, obedience training and a quiet nursing home for help when Ladybird starts acting up around loud noises, but a terrifying thunderstorm forces him to get to the..."
68,FYI,2,24 Hour Flip,1 hr,2023,TV-PG,,1,7,Storefront Setback in Somerset,"Jon and Michelle flip a home attached to a retail space for the first time, but as they tackle the new challenge, they deal with unforeseen complications related to poor communication, which..."
70,GSN,3,Jeopardy!,30 min,2020,,Game-Show,37,17,Episode #37.17,A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories as they vie for a cash prize in the classic trivia game...
70,GSN,4,Jeopardy!,30 min,2020,,Game-Show,37,17,Episode #37.17,A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories as they vie for a cash prize in the classic trivia game...
