channel_order,channel_name,program_order,program_title,duration_raw,release_year,rating,genres_raw,season_number,episode_number,episode_title,synopsis
71,HALMRK,3,The Golden Girls,30 min,1990,TV-PG,Comedy / Drama,5,20,Twice in a Lifetime,"Rose will have the rare opportunity to rekindle her lost romance with a former flame she always regretted leaving, but the timely reunion will cause her to finally realize who she really loves..."
72,HALLDRM,2,Heartland,1 hr,2011,TV-PG,,,,,Ty and Amy's relationship is put in jeopardy when Ty's travel buddies Grant and Blair return to Heartland.
72,HALLDRM,3,Heartland,1 hr,2011,TV-PG,,,,,Amy fights to keep Dexter in the family when she learns Tim is putting the horse up for sale in a claiming race.
73,HALLMYS,3,"Murder, She Wrote",1 hr,1992,TV-PG,Crime / Mystery / Drama,8,19,Day of the Dead,The theft of a priceless artifact from a Mexico City museum leads Jessica into a labyrinth of clues where murder is the fact behind the Mask of Montezuma.
74,HGTV,3,Worst Yard On The Block,31 min,2026,,,,,,"Tucker and J Paul follow a tip to a violation-riddled, overgrown inherited property where the owner is struggling to keep up in Atlanta. The team offers a free renovation, but first, there's a..."
74,HGTV,4,Worst Yard On The Block,31 min,2026,,,,,,"Tucker and J Paul follow a tip to a violation-riddled, overgrown inherited property where the owner is struggling to keep up in Atlanta. The team offers a free renovation, but first, there's a..."
75,THC,2,Alone,1 hr 32 min,2026,TV-14,Drama,13,7,Balancing Act,"With survival hinging on preparation, the remaining participants scramble to secure the essentials; key food wins offer a glimmer of hope, but mounting fatigue and a looming medical check..."
75,THC,3,Alone,1 hr 32 min,2026,TV-14,Drama,13,7,Balancing Act,"With survival hinging on preparation, the remaining participants scramble to secure the essentials; key food wins offer a glimmer of hope, but mounting fatigue and a looming medical check..."
76,IFC,3,Three's Company,30 min,1979,TV-PG,Comedy,4,13,A Black Letter Day,Chrissy and Janet turn against each other after reading an advice column in which a reader has written that he is dating one of his two female roommates and is desperately searching for a way...
76,IFC,4,Three's Company,30 min,1979,TV-PG,Comedy,4,13,A Black Letter Day,Chrissy and Janet turn against each other after reading an advice column in which a reader has written that he is dating one of his two female roommates and is desperately searching for a way...
77,ID,3,See No Evil,1 hr,2025,TV-14,Documentary / Crime,10,14,Cul-de-sac,"After the murder of Johnny Soekhies in Alabama, authorities turn to CCTV to hunt his killer, and the footage reveals a vehicle driving Johnny to the place of his eventual murder and captures a..."
78,LIF-E,2,Rizzoli & Isles,1 hr 3 min,2015,TV-14,Crime / Mystery / Drama,5,17,Bite Out of Crime,"The squad is forced into working overtime in order to discover the identity of a serial killer who uses a sniper's technique on his victims, and a witness that Maura has made a connection with..."
78,LIF-E,3,Rizzoli & Isles,1 hr 3 min,2015,TV-14,Crime / Mystery / Drama,5,17,Bite Out of Crime,"The squad is forced into working overtime in order to discover the identity of a serial killer who uses a sniper's technique on his victims, and a witness that Maura has made a connection with..."
79,LMN,2,A Husband to Die For: The Lisa Aguilar Story,2 hrs,2025,,,,,,"A bright and loving woman who is newly married and expecting her first child with husband soon discovers he's living a dark double life when she is viciously attacked in her own home, and she..."
80,LOGO,2,RuPaul's Drag Race,1 hr 1 min,2012,TV-14,Game-Show / Reality-TV,4,5,Snatch Game,"The winner of a game show challenge is promised a call home, but not before having to answer several challenging rounds of inappropriate questioning; the ladies must impersonate famous female..."
80,LOGO,3,RuPaul's Drag Race,1 hr 1 min,2012,TV-14,Game-Show / Reality-TV,4,5,Snatch Game,"The winner of a game show challenge is promised a call home, but not before having to answer several challenging rounds of inappropriate questioning; the ladies must impersonate famous female..."
81,MAGN,3,Maine Cabin Masters,1 hr,2020,,Reality-TV,5,1,A Dream Come True,A family of four from Florida needs help renovating their dream home on a scenic lake in Maine if the cabin is going to be able to withstand the winter months and live up to their...
82,MTV-E,3,Ridiculousness,30 min,2023,TV-14,Comedy / Reality-TV,36,35,Sterling and Carly Aquilino LVI,"Host Rob Drydek searches the internet on the hunt for some of the craziest videos and combines them before sharing it with Sterling and special guest Carly Aquilino, for a viewing experience..."
82,MTV-E,4,Ridiculousness,30 min,2015,TV-14,Comedy / Reality-TV,7,9,Chanel and Sterling XXII,"Model and actress Charlotte McKinney joins Rob, Sterling and Chanel to cover ""Dirty Secrets,"" ""All Natural Beef"" and ""Spike My Butt."""
83,MTV2,3,The Fresh Prince of Bel-Air,30 min,1996,TV-PG,Comedy,6,18,Hare Today,"When well-meaning Vivian tries help the new minister adjust to life at the church, the widowed preacher mistakenly believes that she has taken a liking to him; the family isn't sure how to..."
83,MTV2,4,The Fresh Prince of Bel-Air,30 min,1996,TV-PG,Comedy,6,18,Hare Today,"When well-meaning Vivian tries help the new minister adjust to life at the church, the widowed preacher mistakenly believes that she has taken a liking to him; the family isn't sure how to..."
84,NGC-E,2,Lost Treasures of Rome,1 hr,2022,TV-PG,Documentary,1,6,Pompeii's Lost Twin: Herculaneum,"The deadly volcanic eruption that buried Pompeii in AD79 also claimed another victim, Herculaneum, and the discovery of an intact skeleton helps investigators piece together the final hours of..."
84,NGC-E,3,Lost Treasures of Rome,1 hr,2022,TV-PG,Documentary,1,2,Rome's Sunken Secrets,"Investigators discover traces of a crucial naval battle, using divers, an underwater robot and a crane, they haul a long-lost battleship relic to the surface, and reveal clues of how one..."
85,NGEOWILD,2,Shark Attack Files,1 hr 38 min,2021,TV-14,Documentary,1,5,Deadly Duo,Multiple instances of sharks attacking humans in pairs are investigated as possibly coincidental.
85,NGEOWILD,3,Shark Attack Files,1 hr,2021,TV-14,Documentary,1,6,Sharks Gone Rogue,"Brazen attacks are targeting people, and some wonder if sharks are learning to crave human flesh."
85,NGEOWILD,4,Shark Attack Files,1 hr,2021,TV-14,Documentary,1,6,Sharks Gone Rogue,"Brazen attacks are targeting people, and some wonder if sharks are learning to crave human flesh."
86,NIC-E,4,Friends,30 min,1995,TV-14,Comedy / Romance,1,21,The One with the Fake Monica,Monica is determined to come up with some way to unearth the identity of the person that has stolen her credit card; Ross attempts to get his monkey accepted into the local zoo when he...
87,NICKJR,3,PAW Patrol,24 min,2022,TV-Y,Animation / Adventure / Comedy / Family,9,3,PAW Patrol Rescue: Rocket Rescuers; PAW Patrol Rescue: The Golden Lion Mask,"Cat-Pack members Wild and Shade team up with the Mighty Pups to stop a runaway rocket; when the Ruff-Ruff Pack swipes a priceless golden lion mask from the museum, Shade and Wild must help the..."
87,NICKJR,4,PAW Patrol,24 min,2022,TV-Y,Animation / Adventure / Comedy / Family,9,3,PAW Patrol Rescue: Rocket Rescuers; PAW Patrol Rescue: The Golden Lion Mask,"Cat-Pack members Wild and Shade team up with the Mighty Pups to stop a runaway rocket; when the Ruff-Ruff Pack swipes a priceless golden lion mask from the museum, Shade and Wild must help the..."
87,NICKJR,5,PAW Patrol,24 min,2018,TV-Y,Animation / Adventure / Comedy / Family,4,23,Pups Save Luke Stars; Pups Save Chicken Day,"When Luke Stars gets stuck on a mountain ledge on his way to Adventure Bay, he is unable to perform a song with Katie; Mayor Goodway's pet chicken Chickaletta, goes missing on Chicken Day and..."
87,NICKJR,6,PAW Patrol,25 min,2016,TV-Y,Animation / Adventure / Comedy / Family,3,9,Pups Save a Dragon; Pups Save the Three Little Pigs,"When a dragon starts guarding the Lookout Tower with Katie inside, Ryder must enlist the help of the Pups and the Air Patroller; the PAW Patrol must build a new home for three piglets while..."
88,NTOON,2,SpongeBob SquarePants,26 min,2023,TV-Y7,Animation / Comedy / Family / Fantasy,13,22,My Friend Patty; FUN-Believable,"SpongeBob befriends a sentient Krabby Patty whose only wish is to be eaten; Rube hosts an episode of ""FUN-Believable! with Rube"" where he explores little known oddities and attractions around..."
88,NTOON,3,SpongeBob SquarePants,26 min,2018,TV-Y7,Animation / Comedy / Family / Fantasy,11,16,My Leg!; Ink Lemonade,"When Fred's leg finally heals up after his injury, SpongeBob tries just about everything, in order to keep him out of harm's way; when Squidward sees that Patrick's lemonade stand isn't doing..."
88,NTOON,4,SpongeBob SquarePants,26 min,2018,TV-Y7,Animation / Comedy / Family / Fantasy,11,16,My Leg!; Ink Lemonade,"When Fred's leg finally heals up after his injury, SpongeBob tries just about everything, in order to keep him out of harm's way; when Squidward sees that Patrick's lemonade stand isn't doing..."
88,NTOON,5,SpongeBob SquarePants,25 min,1999,TV-Y7,Animation / Comedy / Family / Fantasy,1,9,Nature Pants; Opposite Day,SpongeBob leaves the familiarity of his home in Bikini Bottom to live a more free and open life with wild jellyfish ; Squidward wants to sell his house and tricks SpongeBob into thinking it's...
88,NTOON,6,SpongeBob SquarePants,25 min,2024,TV-Y7,Animation / Comedy / Family / Fantasy,15,2,UpWard; Unidentified Flailing Octopus,"Lady Upturn introduces Squidward Tentacles and his musical talents to her high society friends after she becomes his patron; Squidward Tentacles sets out to prove that aliens aren't real,..."
89,OVAT,3,Midsomer Murders,2 hrs 30 min,2008,TV-PG,Crime / Mystery / Drama,11,7,The Magician's Nephew,Jean Wildacre is killed during a magic show; a former colleague becomes anxious about a priceless antique book; Ernest's fragile first wife Rosemary is responsible for caring his Tristan;...
90,OWN,2,My Lottery Dream Home,30 min,2019,,Reality-TV,6,12,Lucky in Las Vegas,"A man, who won some money in the city of Las Vegas on his wife's birthday, has decided to purchase a home far away from the Vegas Strip with her, so they're on the hunt for a remarkable home..."
90,OWN,3,My Lottery Dream Home,30 min,2019,,Reality-TV,6,12,Lucky in Las Vegas,"A man, who won some money in the city of Las Vegas on his wife's birthday, has decided to purchase a home far away from the Vegas Strip with her, so they're on the hunt for a remarkable home..."
90,OWN,4,My Lottery Dream Home,30 min,2019,,Reality-TV,7,1,Big Sky Dream Home,"A Montana couple won $1 million from the state lottery and wants to purchase the home of their dreams in Big Sky country, so they're on the hunt for a ranch that boasts 200 acres of land near..."
91,OXGN-E,2,The Killer Among Us,1 hr,2026,,,,,,"When sheriff-elect Derwin Brown is gunned down just days before taking office, investigators uncover a tangled web of secrets - forcing them to confront the chilling possibility that the..."
91,OXGN-E,3,The Killer Among Us,1 hr,2026,,,,,,"The First Baptist Church of Madisonville, Kentucky is shocked when longtime parishioner Anna May Branson leaves Sunday service only to be murdered in her home moments later. Investigators..."
92,PARMT,2,Top Gun,2 hrs 30 min,1986,PG,Action / Drama,,,,A cocky fighter pilot is assigned to an elite military fight school for advanced aerial combat training where he becomes involved with a beautiful instructor and seems to lose his nerve after...
93,POP,2,FBI,1 hr,2024,TV-14,Action / Crime / Mystery / Thriller / Drama,6,4,Creating a Monster,The team searches for a suspect with connections to an Islamic center after a federal judge is killed in broad daylight; Maggie encounters a former colleague; OA and his girlfriend deal with...
93,POP,3,FBI,1 hr,2024,TV-14,Action / Crime / Mystery / Thriller / Drama,6,5,Sacrifice,The team faces the demands of a kidnapper who abducted the director of a Brooklyn migrant center and his wife; Maggie uses Jessica to learn more about the ins and outs of motherhood.
95,SCIENCE,3,Engineering Catastrophes,1 hr,2023,TV-PG,Documentary,,,,"In Puerto Rico, an iconic observatory nestled into a giant crater must close after the cables holding up a critical platform come crashing down; experts analyze the cumulative effects that led..."
96,SMITHSON,2,Mayday: Air Disaster,1 hr,2022,TV-14,Documentary / History / Crime,,,,A team of aviation experts take a closer look at some of the incidents where an accident was caused by an error in the cockpit because they are wondering if it was an accident or a pilot's...
96,SMITHSON,3,Mayday: Air Disaster,1 hr,2022,TV-14,Documentary / History / Crime,,,,A team of aviation experts take a closer look at some of the incidents where an accident was caused by an error in the cockpit because they are wondering if it was an accident or a pilot's...
97,SUN,2,Law & Order,1 hr,1998,TV-14,Crime / Mystery / Thriller / Drama,9,9,True North,The brutal double murder of a wealthy man and his beloved daughter will lead the detectives investigating the case to interrogate the wife and stepmother of the deceased as their primary...
97,SUN,3,Law & Order,1 hr,1998,TV-14,Crime / Mystery / Thriller / Drama,9,9,True North,The brutal double murder of a wealthy man and his beloved daughter will lead the detectives investigating the case to interrogate the wife and stepmother of the deceased as their primary...
98,SyFy,2,Cocaine Bear,2 hrs,2023,R,Comedy / Crime / Thriller,,,,"A plane filled with cocaine begins to have trouble midair and suddenly crashes into a Georgia forest, but then a curious big, black bear finds the transported stash and ingests a large amount..."
99,TBS,2,The Office,30 min,2009,TV-14,Comedy,6,8,Koi Pond,The Dunder Mifflin staff plans a Halloween haunted house for children in the local community; Michael makes a splash at an important business meeting by falling into a koi pond; Pam and Andy...
99,TBS,3,The Office,30 min,2009,TV-14,Comedy,6,8,Koi Pond,The Dunder Mifflin staff plans a Halloween haunted house for children in the local community; Michael makes a splash at an important business meeting by falling into a koi pond; Pam and Andy...
99,TBS,4,The Office,30 min,2009,TV-14,Comedy,6,9,Double Date,"After much prodding and pleading, Michael convinces Jim and Pam to go out on a particularly awkward double-date with him and the latter's mother; Dwight concocts a scheme to perform benevolent..."
100,TCM,2,A Soldier's Story,2 hrs,1984,PG,Crime / Mystery / Drama / War,,,,"An African-American military lawyer from Washington, D.C., must deal with uncooperative officers, fearful soldiers and prevalent prejudice as he attempts to solve the murder of an unpopular..."
101,TEENNCK,2,The Loud House,27 min,2016,TV-Y7,Animation / Short / Action / Adventure / Comedy / Drama / Family / Fantasy / Musical,1,23,One of the Boys; A Tattler's Tale,"Lisa decides to give Lincoln a look into the reality of Lincoln having a wish come true where he had ten brothers instead of having ten sisters; Lola wants in her sibling's club, but they will..."
101,TEENNCK,3,The Loud House,27 min,2016,TV-Y7,Animation / Short / Action / Adventure / Comedy / Drama / Family / Fantasy / Musical,1,23,One of the Boys; A Tattler's Tale,"Lisa decides to give Lincoln a look into the reality of Lincoln having a wish come true where he had ten brothers instead of having ten sisters; Lola wants in her sibling's club, but they will..."
101,TEENNCK,4,The Loud House,27 min,2016,TV-Y7,Animation / Short / Action / Adventure / Comedy / Drama / Family / Fantasy / Musical,1,23,One of the Boys; A Tattler's Tale,"Lisa decides to give Lincoln a look into the reality of Lincoln having a wish come true where he had ten brothers instead of having ten sisters; Lola wants in her sibling's club, but they will..."
101,TEENNCK,5,The Loud House,27 min,2016,TV-Y7,Animation / Short / Action / Adventure / Comedy / Drama / Family / Fantasy / Musical,1,23,One of the Boys; A Tattler's Tale,"Lisa decides to give Lincoln a look into the reality of Lincoln having a wish come true where he had ten brothers instead of having ten sisters; Lola wants in her sibling's club, but they will..."
101,TEENNCK,6,The Loud House,24 min,2022,TV-Y7,Animation / Short / Action / Adventure / Comedy / Drama / Family / Fantasy / Musical,6,4,The Taunting Hour; Musical Chairs,"Lincoln convinces his teacher, Mr. Bolhofner, to join the Doo-Dads in order to get a better seat in class; after Lincoln tries to help Lynn get over a heckler at her soccer game, the Louds..."
102,TLC,2,Most Extreme Humans,1 hr,2026,,,,,,"Mahfuza and Nelly are living with Harlequin ichthyosis, one of the world's rarest and most severe skin conditions. Mahfuza prepares for her first boxing match. Nelly fully supports her friend..."
102,TLC,3,Most Extreme Humans,1 hr,2026,,,,,,"Mahfuza and Nelly are living with Harlequin ichthyosis, one of the world's rarest and most severe skin conditions. Mahfuza prepares for her first boxing match. Nelly fully supports her friend..."
103,TNT,2,Aquaman,3 hrs,2018,G,Action / Adventure / Fantasy / Sci-Fi,,,,"When the fight for the seas reaches the shore, a half-Atlantean man finds himself pushing against his real identity, but when the fate of the planet is at stake, he embarks on an adventure to..."
103,TNT,3,Aquaman,3 hrs,2018,G,Action / Adventure / Fantasy / Sci-Fi,,,,"When the fight for the seas reaches the shore, a half-Atlantean man finds himself pushing against his real identity, but when the fate of the planet is at stake, he embarks on an adventure to..."
104,TRAVEL,3,Paranormal Caught on Camera,1 hr,2025,TV-PG,Documentary / Horror / Thriller,10,1,The Haunted Pub of Doncaster and More,"The owner of the Plough Inn in Doncaster, England, named Jane Bushell, claims to have captured footage of a destructive spirit wreaking havoc; footage of a Sasquatch-like creature and..."
105,TRUTV,3,Impractical Jokers: Inside Jokes,30 min,2020,TV-14,Comedy / Reality-TV,1,152,Film Fail,"The reason for filming in the produce section of grocery stores, why Murr is teased, and why the audio team has issues recording in a medical office is shown."
105,TRUTV,4,Impractical Jokers: Inside Jokes,30 min,2020,TV-14,Comedy / Reality-TV,1,152,Film Fail,"The reason for filming in the produce section of grocery stores, why Murr is teased, and why the audio team has issues recording in a medical office is shown."
106,TVLAND,2,The King of Queens,30 min,2007,TV-PG,Comedy,9,6,Brace Yourself,"Doug has Deacon's son draw a stick figure of Carrie in hopes that it will make her want to purchase an enhancement that the two of them could benefit from; meanwhile, Spence is currently out..."
106,TVLAND,4,Seinfeld,30 min,1993,TV-PG,Comedy,4,20,The Junior Mint,"Elaine decides to visit her former boyfriend, who is in the hospital for a serious operation; Kramer and Jerry have an accident with a Junior Mint; Jerry has a date with a woman whose name..."
107,USA-E,2,How I Met Your Mother,30 min,2005,TV-PG,Comedy / Drama / Romance,1,8,The Duel,"Ted and Marshall take their friendship into account when they decide to settle their apartment dispute in the most civilized way they can think of, which turns out to be with an epic..."
107,USA-E,3,How I Met Your Mother,30 min,2005,TV-PG,Comedy / Drama / Romance,1,8,The Duel,"Ted and Marshall take their friendship into account when they decide to settle their apartment dispute in the most civilized way they can think of, which turns out to be with an epic..."
107,USA-E,4,How I Met Your Mother,30 min,2005,TV-PG,Comedy / Drama / Romance,1,8,The Duel,"Ted and Marshall take their friendship into account when they decide to settle their apartment dispute in the most civilized way they can think of, which turns out to be with an epic..."
108,VH-1E,3,Nick Cannon Presents: Wild 'N Out,30 min,2014,TV-14,Comedy,6,1,Rick Ross; MMGs,"Rapper Rick Ross joins in games like ""So Fly,"" ""Le Me Holla,"" ""Who's on the Pole"" and ""Wildstyle""; hip-hop's MMG performs."
108,VH-1E,4,Nick Cannon Presents: Wild 'N Out,30 min,2014,TV-14,Comedy,6,3,Skylar Diggins; Vic Mensa,WNBA star Skylar Diggins competes; rapper Vic Mensa performs.
109,VICE,3,QAnon: The Search for Q,1 hr,2022,TV-14,,,,,"After the failed January 6 insurrection, Marley Clements and Bayan Joonam investigate a new war waged in local school boards and elections."
111,WEATH,3,Storm of Suspicion,1 hr,2023,,Crime,4,22,Hurricane Hampered,"As Palm Beach, Fla., prepares for the incoming impact of Hurricane Andrew, a mother and her daughter are suddenly murdered in their home so the police team up with a forensic meteorologist to..."
112,HBOEAL,3,"Life, Larry and the Pursuit of Unhappiness",38 min,2026,,,,,,"President and Mrs. Obama want to honor America's 250th anniversary and celebrate the history of the nation on the occasion, but then Larry David calls."
113,HBO2,2,How to Make a Killing,1 hr 46 min,2026,R,,,,,"Disowned at birth by his wealthy family, Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way."
114,HBOCOM,2,MacGruber,1 hr 32 min,2010,R,Action / Comedy,,,,"A former soldier of fortune learns that his unorthodox special talents are required once again when his old nemesis steals a nuclear weapon, and along with an elite team of specialists, he..."
116,HBOZON,2,Eddington,2 hrs 28 min,2025,R,,,,,"The worry and uncertainty of the pandemic have left the residents of a small New Mexico town uneasy, so when a family is suddenly found murdered in their home, it pits neighbor against..."
116,HBOZON,3,Final Destination: Bloodlines,1 min,2025,R,,,,,"After being plagued by violent and recurring nightmares, a college student races back home to find the one person she believes could help her break the cycle of death and save her family from..."
117,5STMAX,2,Godzilla vs. Gigan,1 hr 30 min,1972,PG,Action / Family / Sci-Fi,,,,"When an evil alien plot to conquer the world using Gigan and King Ghidrah surfaces, Godzilla and Anguirus must join forces to save humanity from destruction."
118,ACTMAX,3,Heretic,1 hr 52 min,2024,R,Horror / Thriller,,,,"Two young women are excited to discuss the importance of faith with a man who invites them into his home, but they become fearful for their lives when they learn that the man has suddenly..."
119,CINEMAX,2,The Final Destination,1 hr 22 min,2009,R,Horror / Thriller,,,,"During a pro racing event at a track, a teenaged boy's premonition warns him of a deadly accident that will kill multitudes, and after warning the public of the upcoming tragedy, Death..."
119,CINEMAX,3,The Final Destination,1 hr 22 min,2009,R,Horror / Thriller,,,,"During a pro racing event at a track, a teenaged boy's premonition warns him of a deadly accident that will kill multitudes, and after warning the public of the upcoming tragedy, Death..."
120,MOMAX,2,Shot Caller,2 hrs 1 min,2017,R,Crime / Thriller / Drama,,,,"A fresh-out-of-prison, ruthless gangster must accept the demands of his gang to coordinate a major crime with a vicious rival organization on the streets of southern California, navigating a..."
122,SHO2,2,The Chi,1 hr,2026,TV-MA,Drama,8,9,Cold Feet,Emmett and Kiesha find themselves arguing about what their wedding should actually look like; Nuck's world is in danger of exploding as Lynae and Bakari grapple with the truth about what...
123,SHOBET,2,Soul Men,1 hr 40 min,2008,R,Comedy / Drama / Music,,,,"Two backup soul singers reluctantly agree to perform at a tribute concert at the Apollo Theater for their recently deceased former band member, realizing that they must work through their..."
127,SHOCSE,2,Virtuosity,1 hr 50 min,1995,R,Action / Crime / Thriller / Sci-Fi,,,,"A former cop now residing in prison is asked to test a virtual reality system that is intended to train police officers, but a bad guy made up of the world's worst serial killers enters the..."
130,TMCEAL,2,Sin City: A Dame to Kill For,1 hr 45 min,2014,R,Action / Adventure / Crime / Thriller / Drama,,,,"A corrupt and violent town is the setting for five gritty tales of crime, retribution and revenge, with a lost man without a memory, a cocky young gambler, a man attempting to rescue his love..."
132,STARZ,2,Bait,2 hrs 3 min,2000,R,Action / Comedy / Crime / Thriller,,,,"After his dying cellmate gives him a mysterious clue about the location of a $42-million depository of stolen gold, a petty New York thief is unwittingly used by the FBI to draw out the..."
134,STARZCOM,2,High School,1 hr 41 min,2012,R,Comedy,,,,"After a soon-to-be valedictorian named Henry Burke smokes marijuana for the first time, it coincides with a new, mandatory drug test for all students at his school, so he and his friends set..."
135,STARZED,2,Mercenaries,1 hr 38 min,2012,R,Action / Drama,,,,"After the Prime Minister of Serbia is assassinated, an ex-British serviceman turned mercenary and an elite special ops team is sent to Europe to rescue a kidnapped U.S. ambassador before the..."
139,ENCORFM,2,Girl in Progress,1 hr 34 min,2012,PG-13,,,,,"As single mom Grace juggles work, bills, and her affair with a married doctor, her daughter, Ansiedad, plots a shortcut to adulthood after finding inspiration in the coming-of-age stories..."
140,ENCORSS,3,The Woman in Green,1 hr 9 min,1945,PG,Crime / Mystery / Drama / Horror,,,,Scotland Yard turns to Sherlock Holmes for assistance when they begin to receive the severed fingers of four women who are murdered; his investigation uncovers a bizarre trail that includes...
143,ENCRCL,2,Macbeth,1 hr 54 min,2015,R,Drama / History / War,,,,"Consumed with ambition and greed after receiving a prophecy from three witches, a Scottish lord murders the king of Scotland and takes the throne for himself, but he soon becomes paranoid as a..."
144,ENCRWST,2,Billy the Kid,1 hr 21 min,2013,PG-13,Documentary / Biography,,,,"When a mother is killed by a gang of outlaws, her son joins forces with a lone bounty hunter to search for the killers, and soon the two partners discover that their lives are forever..."
145,MGM+,3,Changing Lanes,1 hr 40 min,2002,R,Drama / Thriller,,,,A fender bender on the highway causes a hot-shot attorney and an insurance salesman to become locked in a cycle of dirty tricks and misdeeds when their moral compasses are knocked off course...
148,MGM+MAR,2,Cujo,1 hr 35 min,1983,R,Horror / Thriller,,,,"When a troubled family's loveable pet dog contracts rabies from a bat's bite, a mother, her young son and the rest of their community are terrorized by the rabid animal as its illness forces..."
